wavelength,red,green,blue
507,7.72358213192485,96.4029205803929,38.3719371106817
508,8.00060134282707,96.761360226263,37.1298917096413
509,8.2803896685946,97.1235293439793,35.8645127484251
510,8.57115129008642,97.4756175648638,34.613470339487
511,8.90574076263823,97.8122927280887,33.3560065167782
512,9.2680135320885,98.1285055588661,32.1515639430765
513,9.63896484030073,98.4192067824082,30.9779118098273
514,9.99958992913841,98.6793471239271,29.8320684796957
515,10.330884040465,98.9038773086349,28.7141680643987
516,10.6598353289731,99.0877480617438,27.6444876073385
517,11.0498753690399,99.225910108466,26.5946192358019
518,11.4457486721321,99.3287245747791,25.6167745681708
519,11.787925867059,99.4091553284033,24.7049677833606
520,12.0580912190185,99.4573206936599,23.844717186713
521,12.3391376105818,99.4632098035522,23.0495779880015
522,12.6191881058277,99.4167752225837,22.3350552603729
