wavelength_nm,red_qe,green_qe,blue_qe
629,73.6412975853,12.1753214559,3.5835993358
630,72.8958812904,11.9513261467,3.5835993358
631,72.0107730908,11.7351058332,3.5835925173
632,70.9416253802,11.5249762251,3.5817378552
633,69.801432652,11.3192530324,3.5790872341
634,68.6207247769,11.116251965,3.5792683557
635,67.423657204,10.9137703986,3.5854585223
636,66.2127172132,10.7132744721,3.5915402014
637,65.1900117985,10.5255083356,3.6018326598
638,64.3542531999,10.3618733375,3.6261825163
639,63.7016366978,10.2336788774,3.6738138792
640,63.3526552488,10.1427030819,3.7439265858
641,63.365889832,10.0822488963,3.8304327272
642,63.6507917723,10.0454495995,3.9276316291
643,64.1015402684,10.0254384702,4.0335847587
644,64.6743770938,10.0153487874,4.1559372497
645,65.5059573941,10.00831383,4.2842951215
646,66.3640130191,9.9974784503,4.4062205396
647,66.9680486865,9.9780044691,4.5179374715
648,67.3143039724,9.9476816672,4.628189979
649,67.4848905048,9.9041779509,4.7274092543
650,67.4113672557,9.8439891586,4.8052304352
651,67.0221919949,9.749216669,4.8510892191
652,66.2421645018,9.623940049,4.8719786586
653,65.1924613139,9.4804675723,4.8855030732
654,64.0339561063,9.3311075127,4.9090680926
655,62.736203314,9.1881681437,4.9397821697
656,61.3454249877,9.0639577393,4.9730017487
657,60.0191398824,8.970784573,5.0139092608
658,59.1032046936,8.924514894,5.0667483585
659,58.4130402428,8.9410382868,5.1236138324
660,57.9701696046,9.0145171036,5.1906703667
661,57.8099873713,9.1376311607,5.2798375527
662,58.0330144203,9.3030602741,5.4040466258
663,58.5336964449,9.5034842602,5.5691230872
664,59.115883234,9.7315829349,5.7545879852
665,59.6141620379,9.980036111,5.93712038
666,60.2017143999,10.2375338206,6.1049174445
667,60.7933829511,10.4936884149,6.2762143625
668,61.1967615672,10.7425400982,6.4360091091
669,61.2503686431,10.9781290747,6.5661631757
670,61.0200966068,11.1944955488,6.6541498348
671,60.5638681207,11.3856797249,6.7090336949
672,59.9149159315,11.545721807,6.7428232636
673,58.9489418954,11.667354364,6.7674369585
674,57.8122105741,11.7428483581,6.7790982789
675,56.6887166846,11.8022556018,6.7749125105
676,55.5717623167,11.8828895987,6.7673174876
677,54.4916505868,12.0171157732,6.7682008272
678,53.4381291438,12.2009714984,6.7693477345
679,52.5919095246,12.4304630332,6.7727042641
680,52.0288985319,12.703959622,6.7907082502
681,51.6477375249,13.0198305095,6.8353601976
682,51.4120059661,13.3764449403,6.9075191872
683,51.2922848045,13.772172159,6.9979888919
684,51.3520961752,14.2053814101,7.097440936
685,51.5399298882,14.6408350987,7.1967084548
686,51.7552995938,15.0711875173,7.2954979132
687,51.9139298496,15.5700969177,7.4046003761
688,52.0657751935,16.2115446233,7.5354171916
689,52.2250749275,16.9598294042,7.6946080342
690,52.3878716837,17.7285977705,7.8756001706
691,52.578855344,18.4855930076,8.0788437206
692,52.8544621402,19.1985584011,8.3053751705
693,53.1239773006,19.8352372366,8.5948246508
694,53.2849699593,20.3633727996,8.9444481633
695,53.2958588263,20.7507083756,9.2548607984
696,53.2018049962,20.9945420619,9.4263489998
697,52.9528855656,21.1488069749,9.4520556683
698,52.4962055209,21.2191641791,9.3733660628
699,51.8225783874,21.2191641791,9.1902801834
700,51.8225783874,21.2191641791,9.1902801834
